41,210
322,2553
659,5959
941,8941
844,7904
160,1127
396,3276
93,585
258,1977
727,6656
809,7541
144,974
382,3152
350,2846
715,6512
345,2781
570,4997
647,5841
347,2815
65,369
99,613
707,6475
560,4903
832,7767
161,1130
361,2944
479,4093
198,1453
279,2174
508,4355
417,3459
434,3646
371,3026
434,3658
184,1319
912,8625
172,1228
862,8100
897,8457
935,8841
344,2775
535,4639
653,5847
779,7181
955,9087
569,4992
272,2092
924,8768
621,5511
940,8943
580,5136
439,3701
979,9338
787,7267
358,2927
814,7595
919,8730
362,2944
610,5408
59,327
246,1860
135,912
234,1777
922,8732
172,1219
65,371
195,1412
70,404
669,6054
563,4948
98,610
617,5521
182,1302
241,1818
813,7581
997,9556
309,2453
193,1391
51,272
441,3716
999,9622
49,264
980,9337
736,6787
972,9311
667,6011
504,4342
873,8215
775,7167
304,2388
789,7340
936,8866
466,3942
922,8714
488,4178
55,297
635,5654
483,4152
225,1681
848,7927
