383,1702
580,3011
716,3959
440,2001
96,340
38,63
801,4093
876,5023
986,5951
774,3402
732,3754
349,1692
100,387
74,203
349,1865
393,1830
971,5564
737,3546
96,507
426,1944
366,1538
846,4838
176,567
321,1194
289,1149
507,2343
501,2605
171,720
750,4041
436,2089
432,2345
412,1506
841,4468
277,1009
670,3352
516,2554
191,773
469,2357
645,2946
205,755
251,1167
737,3729
478,1842
370,2154
817,5287
139,487
283,1165
751,3493
73,257
855,4212
251,970
973,6160
468,2559
579,3019
557,3119
680,3160
465,2047
790,4337
63,154
214,752
600,3588
632,2900
755,3516
866,6529
971,6255
583,2447
913,5059
440,2266
827,4698
283,1225
707,4014
188,562
489,2459
232,896
429,2054
89,253
692,3929
739,3556
763,4035
304,1269
944,5057
362,1716
984,5547
384,1687
623,4076
923,4727
650,3187
232,828
155,696
355,1375
446,2057
271,1074
699,4039
949,5991
918,5295
147,717
816,4170
336,1624
318,1628
299,1597
